,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
10810,FCI MIAMI,978,Not Suspended,2024-01-07 18:20:37 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
10811,FDC MIAMI,937,Not Suspended,2024-01-07 18:20:53 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
10812,FCI MILAN,"1,538",Not Suspended,2024-01-07 18:21:08 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
10813,FPC MONTGOMERY,598,Not Suspended,2024-01-07 18:21:24 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
10814,FCI MORGANTOWN,436,Not Suspended,2024-01-07 18:21:39 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
10815,MCC NEW YORK,0,Suspended,2024-01-07 18:21:55 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
10816,FCI OAKDALE II,"1,155",Not Suspended,2024-01-07 18:22:10 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
10817,FCI OAKDALE I,822,Not Suspended,2024-01-07 18:22:26 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
10818,FTC OKLAHOMA CITY,"1,297",Not Suspended,2024-01-07 18:22:41 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
10819,FCI OTISVILLE,"1,081",Not Suspended,2024-01-07 18:22:57 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
10820,FCI OXFORD,979,Not Suspended,2024-01-07 18:23:12 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
10821,FCI PEKIN,"1,291",Not Suspended,2024-01-07 18:23:28 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
10822,FPC PENSACOLA,483,Not Suspended,2024-01-07 18:23:43 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
10823,FCI PETERSBURG MEDIUM,"1,660",Not Suspended,2024-01-07 18:23:59 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
10824,FCI PETERSBURG LOW,682,Not Suspended,2024-01-07 18:24:14 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
10825,FDC PHILADELPHIA,873,Not Suspended,2024-01-07 18:24:29 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
10826,FCI PHOENIX,"1,164",Not Suspended,2024-01-07 18:24:45 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
10827,FCI POLLOCK,"1,555",Not Suspended,2024-01-07 18:25:01 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
10828,USP POLLOCK,"1,057",Not Suspended,2024-01-07 18:25:16 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
10829,FCI RAY BROOK,657,Suspended,2024-01-07 18:25:31 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
10830,FMC ROCHESTER,581,Not Suspended,2024-01-07 18:25:47 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
10831,FCI SAFFORD,648,Not Suspended,2024-01-07 18:26:02 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
10832,MCC SAN DIEGO,699,Not Suspended,2024-01-07 18:26:18 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
10833,FCI SANDSTONE,"1,121",Not Suspended,2024-01-07 18:26:36 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
10834,FCI SCHUYLKILL,997,Suspended,2024-01-07 18:26:51 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
10835,FCI SEAGOVILLE,"1,750",Not Suspended,2024-01-07 18:27:07 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
10836,FDC SEATAC,738,Not Suspended,2024-01-07 18:27:22 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
10837,FCI SHERIDAN,"1,640",Not Suspended,2024-01-07 18:27:37 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
10838,MCFP SPRINGFIELD,946,Not Suspended,2024-01-07 18:27:53 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
10839,FCI TALLADEGA,"1,131",Not Suspended,2024-01-07 18:28:08 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
10840,FCI TALLAHASSEE,972,Not Suspended,2024-01-07 18:28:24 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
10841,FCI TERMINAL ISLAND,940,Not Suspended,2024-01-07 18:28:40 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
10842,FCI TERRE HAUTE,"1,485",Not Suspended,2024-01-07 18:28:55 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
10843,USP TERRE HAUTE,"1,134",Not Suspended,2024-01-07 18:29:11 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
10844,FCI TEXARKANA,"1,248",Not Suspended,2024-01-07 18:29:26 PST,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
10845,FCI THOMSON,"1,710",Suspended,2024-01-07 18:29:41 PST,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
10846,FCI THREE RIVERS,"1,318",Suspended,2024-01-07 18:29:57 PST,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
10847,FCI TUCSON,314,Not Suspended,2024-01-07 18:30:16 PST,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
10848,USP TUCSON,"1,357",Suspended,2024-01-07 18:30:31 PST,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
10849,FCI VICTORVILLE MEDIUM I,"1,626",Not Suspended,2024-01-07 18:30:47 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
10850,FCI VICTORVILLE MEDIUM II,"1,393",Not Suspended,2024-01-07 18:31:02 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
10851,USP VICTORVILLE,"1,306",Suspended,2024-01-07 18:31:17 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
10852,FCI WASECA,742,Not Suspended,2024-01-07 18:31:34 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
10853,FCI WILLIAMSBURG,"1,290",Not Suspended,2024-01-07 18:31:50 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
10854,FPC YANKTON,411,Not Suspended,2024-01-07 18:32:05 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
10855,FCI YAZOO CITY MEDIUM,"1,357",Suspended,2024-01-07 18:32:21 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
10856,FCI YAZOO CITY LOW,"1,411",Not Suspended,2024-01-07 18:32:37 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
10857,USP YAZOO CITY,"1,504",Not Suspended,2024-01-07 18:32:52 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
10858,FPC ALDERSON,693,Not Suspended,2024-03-31 09:01:50 PDT,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
10859,FCI ALICEVILLE,"1,554",Not Suspended,2024-03-31 09:02:06 PDT,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
10860,FCI ALLENWOOD LOW,980,Not Suspended,2024-03-31 09:02:21 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
10861,FCI ALLENWOOD MEDIUM,"1,280",Suspended,2024-03-31 09:02:37 PDT,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
10862,USP ALLENWOOD,296,Not Suspended,2024-03-31 09:02:52 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
10863,FCI ASHLAND,"1,281",Not Suspended,2024-03-31 09:03:08 PDT,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
10864,USP ATLANTA,"1,685",Not Suspended,2024-03-31 09:03:23 PDT,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
10865,USP ATWATER,"1,169",Suspended,2024-03-31 09:03:39 PDT,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
10866,FCI BASTROP,"1,053",Suspended,2024-03-31 09:03:54 PDT,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
10867,FCI BEAUMONT LOW,"1,974",Not Suspended,2024-03-31 09:04:09 PDT,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
10868,FCI BEAUMONT MEDIUM,"1,611",Not Suspended,2024-03-31 09:04:25 PDT,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
10869,USP BEAUMONT,"1,194",Not Suspended,2024-03-31 09:04:40 PDT,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
10870,FCI BECKLEY,"1,683",Not Suspended,2024-03-31 09:04:56 PDT,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
10871,FCI BENNETTSVILLE,"1,621",Not Suspended,2024-03-31 09:05:11 PDT,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
10872,FCI BERLIN,819,Not Suspended,2024-03-31 09:05:27 PDT,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
10873,USP BIG SANDY,"1,347",Suspended,2024-03-31 09:05:43 PDT,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
10874,FCI BIG SPRING,"1,034",Not Suspended,2024-03-31 09:05:59 PDT,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
10875,MDC BROOKLYN,"1,386",Suspended,2024-03-31 09:06:14 PDT,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
10876,FPC BRYAN,675,Not Suspended,2024-03-31 09:06:30 PDT,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
10877,FCI BUTNER MEDIUM II,"1,355",Not Suspended,2024-03-31 09:06:45 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
10878,FCI BUTNER LOW,954,Not Suspended,2024-03-31 09:07:01 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
10879,FCI BUTNER MEDIUM I,843,Not Suspended,2024-03-31 09:07:16 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
10880,FMC BUTNER,832,Not Suspended,2024-03-31 09:07:32 PDT,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
10881,USP CANAAN,"1,262",Suspended,2024-03-31 09:07:47 PDT,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
10882,FMC CARSWELL,978,Not Suspended,2024-03-31 09:08:03 PDT,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
10883,MCC CHICAGO,514,Not Suspended,2024-03-31 09:08:18 PDT,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
10884,FCI COLEMAN LOW,"2,080",Not Suspended,2024-03-31 09:08:34 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
10885,FCI COLEMAN MEDIUM,"1,571",Suspended,2024-03-31 09:08:49 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
10886,USP COLEMAN II,"1,127",Not Suspended,2024-03-31 09:09:05 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
10887,USP COLEMAN I,"1,366",Not Suspended,2024-03-31 09:09:20 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
10888,FCI CUMBERLAND,"1,035",Not Suspended,2024-03-31 09:09:35 PDT,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
10889,FCI DANBURY,"1,107",Not Suspended,2024-03-31 09:09:51 PDT,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
10890,FMC DEVENS,930,Not Suspended,2024-03-31 09:10:06 PDT,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
10891,FCI DUBLIN,629,Not Suspended,2024-03-31 09:10:22 PDT,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
10892,FPC DULUTH,510,Not Suspended,2024-03-31 09:10:37 PDT,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
10893,FCI EDGEFIELD,"2,062",Suspended,2024-03-31 09:10:53 PDT,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
10894,FCI EL RENO,"1,199",Not Suspended,2024-03-31 09:11:08 PDT,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
10895,FCI ELKTON,"1,827",Not Suspended,2024-03-31 09:11:24 PDT,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
10896,FCI ENGLEWOOD,897,Not Suspended,2024-03-31 09:11:39 PDT,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
10897,FCI ESTILL,64,Not Suspended,2024-03-31 09:11:55 PDT,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
10898,FCI FAIRTON,791,Not Suspended,2024-03-31 09:12:10 PDT,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
10899,FCI FLORENCE,"1,259",Suspended,2024-03-31 09:12:25 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
10900,USP FLORENCE ADMAX,326,Not Suspended,2024-03-31 09:12:41 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
10901,USP FLORENCE - HIGH,883,Not Suspended,2024-03-31 09:12:56 PDT,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
10902,FCI FORREST CITY MEDIUM,"1,667",Suspended,2024-03-31 09:13:12 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
10903,FCI FORREST CITY LOW,"1,775",Not Suspended,2024-03-31 09:13:28 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
10904,FCI FORT DIX,"3,935",Not Suspended,2024-03-31 09:13:43 PDT,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
10905,FMC FORT WORTH,"1,483",Not Suspended,2024-03-31 09:13:58 PDT,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
10906,FCI GILMER,"1,582",Not Suspended,2024-03-31 09:14:14 PDT,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
10907,FCI GREENVILLE,"1,328",Not Suspended,2024-03-31 09:14:29 PDT,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
10908,MDC GUAYNABO,"1,084",Not Suspended,2024-03-31 09:14:45 PDT,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
10909,FCI HAZELTON,"2,015",Not Suspended,2024-03-31 09:15:00 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
10910,USP HAZELTON,"1,409",Suspended,2024-03-31 09:15:16 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
10911,FCI HERLONG,"1,396",Not Suspended,2024-03-31 09:15:31 PDT,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
10912,FDC HONOLULU,250,Not Suspended,2024-03-31 09:15:46 PDT,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
10913,FDC HOUSTON,720,Not Suspended,2024-03-31 09:16:02 PDT,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
10914,FCI JESUP,"1,661",Not Suspended,2024-03-31 09:16:17 PDT,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
10915,FCI LA TUNA,663,Not Suspended,2024-03-31 09:16:33 PDT,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
10916,USP LEAVENWORTH,"1,837",Suspended,2024-03-31 09:16:48 PDT,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
10917,USP LEE,"1,403",Not Suspended,2024-03-31 09:17:04 PDT,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
10918,USP LEWISBURG,"1,073",Not Suspended,2024-03-31 09:17:19 PDT,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
10919,FMC LEXINGTON,"1,238",Not Suspended,2024-03-31 09:17:35 PDT,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
10920,FCI LOMPOC,879,Not Suspended,2024-03-31 09:17:50 PDT,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
10921,USP LOMPOC,"2,287",Not Suspended,2024-03-31 09:18:06 PDT,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
10922,FCI LORETTO,799,Not Suspended,2024-03-31 09:18:21 PDT,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
10923,MDC LOS ANGELES,602,Not Suspended,2024-03-31 09:18:37 PDT,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
10924,FCI MANCHESTER,"1,108",Not Suspended,2024-03-31 09:18:52 PDT,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
10925,FCI MARIANNA,"1,227",Not Suspended,2024-03-31 09:19:08 PDT,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
10926,USP MARION,"1,261",Not Suspended,2024-03-31 09:19:23 PDT,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
10927,USP MCCREARY,"1,517",Not Suspended,2024-03-31 09:19:39 PDT,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
10928,FCI MCDOWELL,"1,563",Not Suspended,2024-03-31 09:19:54 PDT,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
10929,FCI MCKEAN,"1,077",Suspended,2024-03-31 09:20:09 PDT,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
10930,FCI MEMPHIS,"1,061",Suspended,2024-03-31 09:20:25 PDT,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
10931,FCI MENDOTA,943,Not Suspended,2024-03-31 09:20:40 PDT,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
10932,FCI MIAMI,"1,001",Not Suspended,2024-03-31 09:20:55 PDT,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
10933,FDC MIAMI,909,Not Suspended,2024-03-31 09:21:11 PDT,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
10934,FCI MILAN,"1,586",Not Suspended,2024-03-31 09:21:26 PDT,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
10935,FPC MONTGOMERY,662,Not Suspended,2024-03-31 09:21:42 PDT,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
10936,FCI MORGANTOWN,368,Not Suspended,2024-03-31 09:21:57 PDT,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
10937,MCC NEW YORK,0,Suspended,2024-03-31 09:22:13 PDT,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
10938,FCI OAKDALE II,"1,116",Not Suspended,2024-03-31 09:22:28 PDT,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
10939,FCI OAKDALE I,819,Not Suspended,2024-03-31 09:22:43 PDT,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
10940,FTC OKLAHOMA CITY,"1,276",Not Suspended,2024-03-31 09:22:59 PDT,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
10941,FCI OTISVILLE,"1,064",Not Suspended,2024-03-31 09:23:14 PDT,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
10942,FCI OXFORD,"1,085",Not Suspended,2024-03-31 09:23:30 PDT,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
10943,FCI PEKIN,"1,257",Not Suspended,2024-03-31 09:23:45 PDT,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
10944,FPC PENSACOLA,434,Not Suspended,2024-03-31 09:24:01 PDT,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
10945,FCI PETERSBURG MEDIUM,"1,662",Not Suspended,2024-03-31 09:24:16 PDT,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
10946,FCI PETERSBURG LOW,665,Not Suspended,2024-03-31 09:24:32 PDT,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
10947,FDC PHILADELPHIA,892,Not Suspended,2024-03-31 09:24:47 PDT,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
10948,FCI PHOENIX,"1,177",Not Suspended,2024-03-31 09:25:02 PDT,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
10949,FCI POLLOCK,"1,554",Not Suspended,2024-03-31 09:25:18 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
10950,USP POLLOCK,"1,129",Not Suspended,2024-03-31 09:25:33 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
10951,FCI RAY BROOK,641,Not Suspended,2024-03-31 09:25:49 PDT,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
10952,FMC ROCHESTER,647,Not Suspended,2024-03-31 09:26:04 PDT,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
10953,FCI SAFFORD,658,Not Suspended,2024-03-31 09:26:20 PDT,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
10954,MCC SAN DIEGO,628,Not Suspended,2024-03-31 09:26:36 PDT,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
10955,FCI SANDSTONE,"1,122",Not Suspended,2024-03-31 09:26:51 PDT,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
